source_label,listing_id,address,recommended_source,latitude,longitude,bing_tile_count,bing_contact_sheet
Cranbrook/Kimberley,10658951,9444 MOYIE SHORES ESTATES W Road,mls_ground_backyard_context_only,49.279867,-115.844255,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,20028580,1309 BIRCHWOOD Place,mls_ground_backyard_context_only,49.75319604,-114.89103966,9,data\alternate_contact_sheets\bing\fernie-sparwood\1309-birchwood-place-20028580\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,20078363,1357 Cypress Drive,mls_ground_backyard_context_only,49.7528373,-114.88994672,9,data\alternate_contact_sheets\bing\fernie-sparwood\1357-cypress-drive-20078363\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,10683161,2313 FALCON Court,mls_ground_backyard_context_only,49.75798803,-114.89175338,9,data\alternate_contact_sheets\bing\fernie-sparwood\2313-falcon-court-10683161\bing_aerial_contact_sheet.jpg
Fernie/Sparwood,20080409,1668 Tranquility Road,needs_aerial_review,49.17838232,-115.21566051,9,data\alternate_contact_sheets\bing\fernie-sparwood\1668-tranquility-road-20080409\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20058040,205 309th Avenue,blocked_arcgis_no_imagery,49.63852518,-115.95303904,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\205-309th-avenue-20058040\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20074790,215 13th Avenue S,blocked_arcgis_no_imagery,49.50765696,-115.76380623,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\215-13th-avenue-s-20074790\bing_aerial_contact_sheet.jpg
Columbia Valley,10672915,3415 CROOKED TREE Place,blocked_arcgis_no_imagery,50.4071838,-115.8829229,9,data\alternate_contact_sheets\bing\columbia-valley\3415-crooked-tree-place-10672915\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20022519,611 NELSON Street,blocked_arcgis_no_imagery,49.69193634,-115.981125,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\611-nelson-street-20022519\bing_aerial_contact_sheet.jpg
Cranbrook/Kimberley,20078478,75 103RD Avenue,blocked_arcgis_no_imagery,49.66412926,-115.96594646,9,data\alternate_contact_sheets\bing\cranbrook-kimberley\75-103rd-avenue-20078478\bing_aerial_contact_sheet.jpg
