source_label,listing_id,address,recommended_source,latitude,longitude,google_image_count,google_contact_sheet
Cranbrook/Kimberley,10658951,9444 MOYIE SHORES ESTATES W Road,possible_bing_overhead_needs_verify,49.279867,-115.844255,3,data\alternate_contact_sheets\google\cranbrook-kimberley\9444-moyie-shores-estates-w-road-10658951\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20080409,1668 Tranquility Road,possible_bing_overhead_needs_verify,49.17838232,-115.21566051,3,data\alternate_contact_sheets\google\fernie-sparwood\1668-tranquility-road-20080409\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10680848,2400 34TH S Avenue,possible_mapbox_overhead_needs_verify,49.48655061,-115.73283811,3,data\alternate_contact_sheets\google\cranbrook-kimberley\2400-34th-s-avenue-10680848\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10670512,1461 8TH Avenue,possible_mapbox_overhead_needs_verify,49.51399872,-115.06061126,3,data\alternate_contact_sheets\google\fernie-sparwood\1461-8th-avenue-10670512\google_satellite_contact_sheet.jpg
Columbia Valley,10675551,1101 6TH Street,mls_ground_backyard_context_only,50.50835857,-116.03418661,3,data\alternate_contact_sheets\google\columbia-valley\1101-6th-street-10675551\google_satellite_contact_sheet.jpg
Columbia Valley,10683098,1440 CANTERBURY Close,mls_ground_backyard_context_only,50.50410789,-116.04469441,3,data\alternate_contact_sheets\google\columbia-valley\1440-canterbury-close-10683098\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10672843,150 SULLIVAN Drive,blocked_arcgis_no_imagery,49.69758735,-115.99289312,3,data\alternate_contact_sheets\google\cranbrook-kimberley\150-sullivan-drive-10672843\google_satellite_contact_sheet.jpg
Columbia Valley,20049602,1509 10th Avenue,mls_ground_backyard_context_only,50.50115804,-116.03215489,3,data\alternate_contact_sheets\google\columbia-valley\1509-10th-avenue-20049602\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10652596,16 CEDAR BOWL Drive,blocked_arcgis_no_imagery,49.489547,-115.06078,3,data\alternate_contact_sheets\google\fernie-sparwood\16-cedar-bowl-drive-10652596\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20043865,1622 11 Avenue,blocked_arcgis_no_imagery,49.51666032,-115.06223833,3,data\alternate_contact_sheets\google\fernie-sparwood\1622-11-avenue-20043865\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10681930,176 SHADOW MOUNTAIN Boulevard,blocked_arcgis_no_imagery,49.57718975,-115.79507886,3,data\alternate_contact_sheets\google\cranbrook-kimberley\176-shadow-mountain-boulevard-10681930\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10670897,1905 16TH S Street,blocked_arcgis_no_imagery,49.49322513,-115.75489682,3,data\alternate_contact_sheets\google\cranbrook-kimberley\1905-16th-s-street-10670897\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10652500,1909 16TH S Street,blocked_arcgis_no_imagery,49.49335,-115.754603,3,data\alternate_contact_sheets\google\cranbrook-kimberley\1909-16th-s-street-10652500\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20078352,2071 Golden Eagle Drive,mls_ground_backyard_context_only,49.76245664,-114.89202357,3,data\alternate_contact_sheets\google\fernie-sparwood\2071-golden-eagle-drive-20078352\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20078342,209 31st Avenue S,blocked_arcgis_no_imagery,49.50721928,-115.73847781,3,data\alternate_contact_sheets\google\cranbrook-kimberley\209-31st-avenue-s-20078342\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10675001,2134 WHISKEY JACK Drive,mls_ground_backyard_context_only,49.75975517,-114.89851222,3,data\alternate_contact_sheets\google\fernie-sparwood\2134-whiskey-jack-drive-10675001\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10683923,2135 WHISKEY JACK Drive,mls_ground_backyard_context_only,49.75981389,-114.89823739,3,data\alternate_contact_sheets\google\fernie-sparwood\2135-whiskey-jack-drive-10683923\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10671578,2140 WHISKEY JACK Drive,mls_ground_backyard_context_only,49.7608287,-114.90042812,3,data\alternate_contact_sheets\google\fernie-sparwood\2140-whiskey-jack-drive-10671578\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20021326,2264 BLACK HAWK Drive,mls_ground_backyard_context_only,49.75981671,-114.89495128,3,data\alternate_contact_sheets\google\fernie-sparwood\2264-black-hawk-drive-20021326\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10670868,23 RIDGEMONT Drive,blocked_arcgis_no_imagery,49.50275115,-115.05450283,3,data\alternate_contact_sheets\google\fernie-sparwood\23-ridgemont-drive-10670868\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20078478,75 103RD Avenue,mapbox_overhead_house_backyard_candidate,49.66412926,-115.96594646,3,data\alternate_contact_sheets\google\cranbrook-kimberley\75-103rd-avenue-20078478\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10682918,79 RIDGEMONT Drive,mapbox_overhead_house_backyard_candidate,49.50678948,-115.04909858,3,data\alternate_contact_sheets\google\fernie-sparwood\79-ridgemont-drive-10682918\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20020840,814 307TH Avenue,mapbox_overhead_house_backyard_candidate,49.63262572,-115.95415125,3,data\alternate_contact_sheets\google\cranbrook-kimberley\814-307th-avenue-20020840\google_satellite_contact_sheet.jpg
Columbia Valley,10683812,958 COPPER POINT Way,mapbox_overhead_house_backyard_candidate,50.49811449,-115.98869562,3,data\alternate_contact_sheets\google\columbia-valley\958-copper-point-way-10683812\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10673089,112 FOREST CROWNE Crescent,mapbox_overhead_house_backyard_candidate,49.64230669,-115.97194226,3,data\alternate_contact_sheets\google\cranbrook-kimberley\112-forest-crowne-crescent-10673089\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10663121,1362 11TH Avenue,mapbox_overhead_house_backyard_candidate,49.51428168,-115.06449924,3,data\alternate_contact_sheets\google\fernie-sparwood\1362-11th-avenue-10663121\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20077373,166 304th Avenue,mapbox_overhead_house_backyard_candidate,49.63976818,-115.96099598,3,data\alternate_contact_sheets\google\cranbrook-kimberley\166-304th-avenue-20077373\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10675368,201 1ST Avenue,mapbox_overhead_house_backyard_candidate,49.5003602,-115.06319881,3,data\alternate_contact_sheets\google\fernie-sparwood\201-1st-avenue-10675368\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10679212,2108 WHISKEY JACK Drive,mapbox_overhead_house_backyard_candidate,49.75627637,-114.89581347,3,data\alternate_contact_sheets\google\fernie-sparwood\2108-whiskey-jack-drive-10679212\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10670943,22 COAL CREEK Road,mapbox_overhead_house_backyard_candidate,49.49862579,-115.06315522,3,data\alternate_contact_sheets\google\fernie-sparwood\22-coal-creek-road-10670943\google_satellite_contact_sheet.jpg
Columbia Valley,10677502,2537 LEDGEROCK Ridge,mapbox_overhead_house_backyard_candidate,50.48067248,-116.0404858,3,data\alternate_contact_sheets\google\columbia-valley\2537-ledgerock-ridge-10677502\google_satellite_contact_sheet.jpg
Columbia Valley,10660407,2589 LEDGEROCK Court,mapbox_overhead_house_backyard_candidate,50.477448,-116.039254,3,data\alternate_contact_sheets\google\columbia-valley\2589-ledgerock-court-10660407\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10676027,29 RIDGEMONT Drive,mapbox_overhead_house_backyard_candidate,49.50310644,-115.05460562,3,data\alternate_contact_sheets\google\fernie-sparwood\29-ridgemont-drive-10676027\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20073830,311 302nd Avenue,mapbox_overhead_house_backyard_candidate,49.63729303,-115.96292915,3,data\alternate_contact_sheets\google\cranbrook-kimberley\311-302nd-avenue-20073830\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20022685,405 7TH Avenue,mapbox_overhead_house_backyard_candidate,49.69351588,-115.9851582,3,data\alternate_contact_sheets\google\cranbrook-kimberley\405-7th-avenue-20022685\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20003058,4315 LAKEVIEW Drive,mapbox_overhead_house_backyard_candidate,49.48370376,-115.84817827,3,data\alternate_contact_sheets\google\cranbrook-kimberley\4315-lakeview-drive-20003058\google_satellite_contact_sheet.jpg
Columbia Valley,10671043,4690 NORTH Street,mapbox_overhead_house_backyard_candidate,50.4663123,-115.98905013,3,data\alternate_contact_sheets\google\columbia-valley\4690-north-street-10671043\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,20070160,530 Trail Street,mapbox_overhead_house_backyard_candidate,49.69037943,-115.98254682,3,data\alternate_contact_sheets\google\cranbrook-kimberley\530-trail-street-20070160\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10673062,6853 ROSEN LAKE E Road,mapbox_overhead_house_backyard_candidate,49.39397556,-115.25562759,3,data\alternate_contact_sheets\google\fernie-sparwood\6853-rosen-lake-e-road-10673062\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10679813,701 34TH S Avenue,mapbox_overhead_house_backyard_candidate,49.50164769,-115.73385134,3,data\alternate_contact_sheets\google\cranbrook-kimberley\701-34th-s-avenue-10679813\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10693834,821 6TH Avenue,mapbox_overhead_house_backyard_candidate,49.7011709,-115.98820795,3,data\alternate_contact_sheets\google\cranbrook-kimberley\821-6th-avenue-10693834\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20022908,842 8TH Avenue,mapbox_overhead_house_backyard_candidate,49.50874718,-115.06534974,3,data\alternate_contact_sheets\google\fernie-sparwood\842-8th-avenue-20022908\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10667796,9 PINE Avenue,mapbox_overhead_house_backyard_candidate,49.49658341,-115.06405254,3,data\alternate_contact_sheets\google\fernie-sparwood\9-pine-avenue-10667796\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10666059,992 8TH Avenue,mapbox_overhead_house_backyard_candidate,49.50988463,-115.06432056,3,data\alternate_contact_sheets\google\fernie-sparwood\992-8th-avenue-10666059\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10681651,1 MT PROCTOR Avenue,mapbox_overhead_house_backyard_candidate,49.49530913,-115.07385118,3,data\alternate_contact_sheets\google\fernie-sparwood\1-mt-proctor-avenue-10681651\google_satellite_contact_sheet.jpg
Fernie/Sparwood,10663402,11 PARKLAND Drive,mapbox_overhead_house_backyard_candidate,49.52106425,-115.06609701,3,data\alternate_contact_sheets\google\fernie-sparwood\11-parkland-drive-10663402\google_satellite_contact_sheet.jpg
Cranbrook/Kimberley,10685535,112 PURCELL Place,mapbox_overhead_house_backyard_candidate,49.57825263,-115.79762505,3,data\alternate_contact_sheets\google\cranbrook-kimberley\112-purcell-place-10685535\google_satellite_contact_sheet.jpg
Columbia Valley,10657869,1122 HILLTOP Road,mapbox_overhead_house_backyard_candidate,50.489095,-115.994404,3,data\alternate_contact_sheets\google\columbia-valley\1122-hilltop-road-10657869\google_satellite_contact_sheet.jpg
Fernie/Sparwood,20020438,1250 VALLEY VIEW Drive,mapbox_overhead_house_backyard_candidate,49.74860102,-114.89073277,3,data\alternate_contact_sheets\google\fernie-sparwood\1250-valley-view-drive-20020438\google_satellite_contact_sheet.jpg
