source_label,listing_id,address,downloaded_mls_thumbnails,possible_outdoor_backyard_aerial_candidates,mls_contact_sheet,reuse_rights,notes
Columbia Valley,10604265,4827 HOLLAND Crescent,10,10,data\mls_contact_sheets\columbia_valley\4827-holland-crescent-10604265\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10619308,368 PANORAMA Place,19,19,data\mls_contact_sheets\columbia_valley\368-panorama-place-10619308\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10675110,6948 COLUMBIA RIDGE Drive,26,26,data\mls_contact_sheets\columbia_valley\6948-columbia-ridge-drive-10675110\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20059692,4891 Glen Eagle Drive,30,30,data\mls_contact_sheets\columbia_valley\4891-glen-eagle-drive-20059692\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10684558,890 COPPERPOINT Way,30,18,data\mls_contact_sheets\columbia_valley\890-copperpoint-way-10684558\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10682769,5025 RIVERVIEW Road,12,12,data\mls_contact_sheets\columbia_valley\5025-riverview-road-10682769\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10573050,5009 FAIRWAY Drive,10,10,data\mls_contact_sheets\columbia_valley\5009-fairway-drive-10573050\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10592929,4582 COLUMBIA VIEW Road,10,10,data\mls_contact_sheets\columbia_valley\4582-columbia-view-road-10592929\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10647009,1502 PINERIDGE MOUNTAIN Place,30,30,data\mls_contact_sheets\columbia_valley\1502-pineridge-mountain-place-10647009\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10665224,946 RIDGE Place,30,29,data\mls_contact_sheets\columbia_valley\946-ridge-place-10665224\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10669410,2572 LEDGEROCK Ridge,30,27,data\mls_contact_sheets\columbia_valley\2572-ledgerock-ridge-10669410\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10675551,1101 6TH Street,30,29,data\mls_contact_sheets\columbia_valley\1101-6th-street-10675551\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10680493,4958 MERLO Road,30,19,data\mls_contact_sheets\columbia_valley\4958-merlo-road-10680493\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10683660,5138 RIVERVIEW Crescent,30,23,data\mls_contact_sheets\columbia_valley\5138-riverview-crescent-10683660\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20021525,4585 COLUMERE Road,30,25,data\mls_contact_sheets\columbia_valley\4585-columere-road-20021525\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20021647,13-640 UPPER LAKEVIEW Road,29,27,data\mls_contact_sheets\columbia_valley\13-640-upper-lakeview-road-20021647\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20040895,930 COPPER POINT Way,30,18,data\mls_contact_sheets\columbia_valley\930-copper-point-way-20040895\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20084577,4885 Carnoustie Place,30,27,data\mls_contact_sheets\columbia_valley\4885-carnoustie-place-20084577\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20087320,896 Copper Point Way,30,21,data\mls_contact_sheets\columbia_valley\896-copper-point-way-20087320\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20038863,960 COPPER POINT Way,30,30,data\mls_contact_sheets\columbia_valley\960-copper-point-way-20038863\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20051381,31 - 640 Upper Lakeview Road,30,21,data\mls_contact_sheets\columbia_valley\31-640-upper-lakeview-road-20051381\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10645721,799 LAKEVIEW MEADOWS Point,30,28,data\mls_contact_sheets\columbia_valley\799-lakeview-meadows-point-10645721\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10677817,5151 RIVERVIEW Road,30,22,data\mls_contact_sheets\columbia_valley\5151-riverview-road-10677817\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10683812,958 COPPER POINT Way,30,30,data\mls_contact_sheets\columbia_valley\958-copper-point-way-10683812\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20080295,5132 Riverview Crescent,30,27,data\mls_contact_sheets\columbia_valley\5132-riverview-crescent-20080295\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10658844,1059 SWANSEA Road,30,30,data\mls_contact_sheets\columbia_valley\1059-swansea-road-10658844\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10521676,1753 2ND Avenue,1,1,data\mls_contact_sheets\columbia_valley\1753-2nd-avenue-10521676\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10660875,5938 COLUMBIA LAKE Road,30,29,data\mls_contact_sheets\columbia_valley\5938-columbia-lake-road-10660875\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10665854,4874 RIDGE Crescent,30,26,data\mls_contact_sheets\columbia_valley\4874-ridge-crescent-10665854\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10680589,2510 COBBLESTONE Trail,30,30,data\mls_contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20026178,137 12A Avenue,30,23,data\mls_contact_sheets\columbia_valley\137-12a-avenue-20026178\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20057362,7-640 UPPER LAKEVIEW Road,30,29,data\mls_contact_sheets\columbia_valley\7-640-upper-lakeview-road-20057362\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20061096,5221 Columbia River Road,30,29,data\mls_contact_sheets\columbia_valley\5221-columbia-river-road-20061096\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10673667,4985 MOUNTAIN TOP Drive,30,11,data\mls_contact_sheets\columbia_valley\4985-mountain-top-drive-10673667\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10675078,1745 SWANSEA Avenue,30,12,data\mls_contact_sheets\columbia_valley\1745-swansea-avenue-10675078\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10664190,9982 WILDWOOD Lane,30,29,data\mls_contact_sheets\columbia_valley\9982-wildwood-lane-10664190\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10670913,8042 MCINTOSH LOOP Road,30,30,data\mls_contact_sheets\columbia_valley\8042-mcintosh-loop-road-10670913\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10682429,4476 COLUMBIA VIEW Road,30,23,data\mls_contact_sheets\columbia_valley\4476-columbia-view-road-10682429\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,20049602,1509 10th Avenue,30,24,data\mls_contact_sheets\columbia_valley\1509-10th-avenue-20049602\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
Columbia Valley,10646987,815 LAKEVIEW MEADOWS GREEN,30,30,data\mls_contact_sheets\columbia_valley\815-lakeview-meadows-green-10646987\mls_contact_sheet.jpg,unknown_research_only,Candidate score is a color/texture proxy; human or vision review still required.
