listing_id,address,source_label,candidate_rank,photo_index,outdoor_candidate_score,green_ratio,blue_ratio,local_path,source_url,reuse_rights,review_status
10604265,4827 HOLLAND Crescent,Columbia Valley,1,10,86,0.144,0.513,data\mls_photos\columbia_valley\4827-holland-crescent-10604265\10_00A1CEE9_L10.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A1CEE9.L10&failover=portal_Blank.gif,unknown_research_only,needs_review
10604265,4827 HOLLAND Crescent,Columbia Valley,2,2,78,0.058,0.074,data\mls_photos\columbia_valley\4827-holland-crescent-10604265\02_00A1CEE9_L02.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A1CEE9.L02&failover=portal_Blank.gif,unknown_research_only,needs_review
10604265,4827 HOLLAND Crescent,Columbia Valley,3,1,74,0.011,0.326,data\mls_photos\columbia_valley\4827-holland-crescent-10604265\01_00A1CEE9_L01.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A1CEE9.L01&failover=portal_Blank.gif,unknown_research_only,needs_review
10604265,4827 HOLLAND Crescent,Columbia Valley,4,4,64,0.03,0.051,data\mls_photos\columbia_valley\4827-holland-crescent-10604265\04_00A1CEE9_L04.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A1CEE9.L04&failover=portal_Blank.gif,unknown_research_only,needs_review
10604265,4827 HOLLAND Crescent,Columbia Valley,5,8,62,0.094,0.172,data\mls_photos\columbia_valley\4827-holland-crescent-10604265\08_00A1CEE9_L08.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A1CEE9.L08&failover=portal_Blank.gif,unknown_research_only,needs_review
10619308,368 PANORAMA Place,Columbia Valley,1,19,72,0.002,0.301,data\mls_photos\columbia_valley\368-panorama-place-10619308\19_00A209AC_L19.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A209AC.L19&failover=portal_Blank.gif,unknown_research_only,needs_review
10619308,368 PANORAMA Place,Columbia Valley,2,10,68,0.001,0.104,data\mls_photos\columbia_valley\368-panorama-place-10619308\10_00A209AC_L10.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A209AC.L10&failover=portal_Blank.gif,unknown_research_only,needs_review
10619308,368 PANORAMA Place,Columbia Valley,3,16,67,0.001,0.074,data\mls_photos\columbia_valley\368-panorama-place-10619308\16_00A209AC_L16.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A209AC.L16&failover=portal_Blank.gif,unknown_research_only,needs_review
10619308,368 PANORAMA Place,Columbia Valley,4,15,58,0.006,0.072,data\mls_photos\columbia_valley\368-panorama-place-10619308\15_00A209AC_L15.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A209AC.L15&failover=portal_Blank.gif,unknown_research_only,needs_review
10619308,368 PANORAMA Place,Columbia Valley,5,7,57,0.001,0.034,data\mls_photos\columbia_valley\368-panorama-place-10619308\07_00A209AC_L07.jpg,https://images.realtyserver.com/photo_server.php?btnSubmit=GetPhoto&board=air&name=00A209AC.L07&failover=portal_Blank.gif,unknown_research_only,needs_review
