listing_id,address,source_label,tile_count,placeholder_count,real_tile_count,all_placeholder
10604265,4827 HOLLAND Crescent,Columbia Valley,9,9,0,True
10619308,368 PANORAMA Place,Columbia Valley,9,9,0,True
10675110,6948 COLUMBIA RIDGE Drive,Columbia Valley,9,9,0,True
20059692,4891 Glen Eagle Drive,Columbia Valley,9,9,0,True
10684558,890 COPPERPOINT Way,Columbia Valley,9,9,0,True
10682769,5025 RIVERVIEW Road,Columbia Valley,9,9,0,True
10573050,5009 FAIRWAY Drive,Columbia Valley,9,9,0,True
10592929,4582 COLUMBIA VIEW Road,Columbia Valley,9,9,0,True
10647009,1502 PINERIDGE MOUNTAIN Place,Columbia Valley,9,9,0,True
10665224,946 RIDGE Place,Columbia Valley,9,9,0,True
10669410,2572 LEDGEROCK Ridge,Columbia Valley,9,9,0,True
10675551,1101 6TH Street,Columbia Valley,9,9,0,True
10680493,4958 MERLO Road,Columbia Valley,9,9,0,True
10683660,5138 RIVERVIEW Crescent,Columbia Valley,9,9,0,True
20021525,4585 COLUMERE Road,Columbia Valley,9,9,0,True
20021647,13-640 UPPER LAKEVIEW Road,Columbia Valley,9,9,0,True
20040895,930 COPPER POINT Way,Columbia Valley,9,9,0,True
20084577,4885 Carnoustie Place,Columbia Valley,9,9,0,True
20087320,896 Copper Point Way,Columbia Valley,9,9,0,True
20038863,960 COPPER POINT Way,Columbia Valley,9,9,0,True
20051381,31 - 640 Upper Lakeview Road,Columbia Valley,9,9,0,True
10645721,799 LAKEVIEW MEADOWS Point,Columbia Valley,9,9,0,True
10677817,5151 RIVERVIEW Road,Columbia Valley,9,9,0,True
10683812,958 COPPER POINT Way,Columbia Valley,9,9,0,True
20080295,5132 Riverview Crescent,Columbia Valley,9,9,0,True
10658844,1059 SWANSEA Road,Columbia Valley,9,9,0,True
10521676,1753 2ND Avenue,Columbia Valley,9,9,0,True
10660875,5938 COLUMBIA LAKE Road,Columbia Valley,9,9,0,True
10665854,4874 RIDGE Crescent,Columbia Valley,9,9,0,True
10680589,2510 COBBLESTONE Trail,Columbia Valley,9,9,0,True
20026178,137 12A Avenue,Columbia Valley,9,9,0,True
20057362,7-640 UPPER LAKEVIEW Road,Columbia Valley,9,9,0,True
20061096,5221 Columbia River Road,Columbia Valley,9,9,0,True
10673667,4985 MOUNTAIN TOP Drive,Columbia Valley,9,9,0,True
10675078,1745 SWANSEA Avenue,Columbia Valley,9,9,0,True
10664190,9982 WILDWOOD Lane,Columbia Valley,9,9,0,True
10670913,8042 MCINTOSH LOOP Road,Columbia Valley,9,9,0,True
10682429,4476 COLUMBIA VIEW Road,Columbia Valley,9,9,0,True
20049602,1509 10th Avenue,Columbia Valley,9,9,0,True
10646987,815 LAKEVIEW MEADOWS GREEN,Columbia Valley,9,9,0,True
