priority_rank,review_status,source_label,listing_id,address,area,subarea,latitude,longitude,coordinate_confidence,best_overhead_candidate,contact_sheet,aerial_tile_count,image_quality_score_auto,center_tile_bytes,center_tile_brightness,center_tile_contrast,backyard_visibility,overhead_quality,hot_tub_visible,mls_photo_count,source_risk,notes,aerial_placeholder_tiles,aerial_real_tiles
1,vision_reviewed_batch_001,Fernie/Sparwood,10679423,1681 KOOCANUSA LAKE Drive,Kootenay,FERU - Elko to Montana,49.17766297,-115.23551542,listing,data\aerial\fernie_sparwood\1681-koocanusa-lake-drive-10679423\esri_world_imagery_z19\z19_x94320_y179657.jpg,data\contact_sheets\fernie_sparwood\1681-koocanusa-lake-drive-10679423\aerial_contact_sheet.jpg,9,68,11725,131.5,54.1,good,good,no,29,research_only_verify_license,"Vision batch 001: print_mockup_potential=high; best_candidate_tile=center; Clear lakeside property with yard, beach, and shoreline context; no obvious hot tub or pool.",0,9
2,vision_reviewed_batch_001,Fernie/Sparwood,10681059,2260 BLACK HAWK Drive,Kootenay,SP - Sparwood,49.7597004,-114.89407011,listing,data\aerial\fernie_sparwood\2260-black-hawk-drive-10681059\esri_world_imagery_z19\z19_x94817_y178352.jpg,data\contact_sheets\fernie_sparwood\2260-black-hawk-drive-10681059\aerial_contact_sheet.jpg,9,65,6195,133.0,53.1,poor,poor,no,35,research_only_verify_license,"Vision batch 001: print_mockup_potential=low; best_candidate_tile=none; Very blurry and mostly road, trees, and undeveloped land; no clear house or usable backyard crop.",1,8
3,vision_reviewed_batch_001,Fernie/Sparwood,20068707,1643 Koocanusa Lake Drive,Kootenay,FERU - Jaffray and Vicinity,49.1789198,-115.23394025,listing,data\aerial\fernie_sparwood\1643-koocanusa-lake-drive-20068707\esri_world_imagery_z19\z19_x94322_y179654.jpg,data\contact_sheets\fernie_sparwood\1643-koocanusa-lake-drive-20068707\aerial_contact_sheet.jpg,9,63,11006,140.4,50.4,partial,good,no,48,research_only_verify_license,Vision batch 001: print_mockup_potential=medium; best_candidate_tile=other; Center tile is mostly road and driveway; adjacent right-side tiles show better homes and lawns near water.,0,9
4,vision_reviewed_batch_001,Fernie/Sparwood,20078363,1357 Cypress Drive,Kootenay,SP - Sparwood,49.7528373,-114.88994672,listing,data\aerial\fernie_sparwood\1357-cypress-drive-20078363\esri_world_imagery_z19\z19_x94823_y178368.jpg,data\contact_sheets\fernie_sparwood\1357-cypress-drive-20078363\aerial_contact_sheet.jpg,9,61,7441,116.1,49.7,partial,poor,no,84,research_only_verify_license,"Vision batch 001: print_mockup_potential=low; best_candidate_tile=center; Blurry residential view with some yard and tree cover, but details are weak for print marketing.",0,9
5,vision_reviewed_batch_001,Fernie/Sparwood,20049830,1256 Valley View Drive,Kootenay,SP - Sparwood,49.74755517,-114.89136592,listing,data\aerial\fernie_sparwood\1256-valley-view-drive-20049830\esri_world_imagery_z19\z19_x94821_y178380.jpg,data\contact_sheets\fernie_sparwood\1256-valley-view-drive-20049830\aerial_contact_sheet.jpg,9,57,6626,138.2,46.0,partial,fair,no,35,research_only_verify_license,"Vision batch 001: print_mockup_potential=medium; best_candidate_tile=center; Center tile includes a visible structure and yard beside a curved road, though resolution is soft.",0,9
6,vision_reviewed_batch_001,Fernie/Sparwood,20020438,1250 VALLEY VIEW Drive,Kootenay,SP - Sparwood,49.74860102,-114.89073277,listing,data\aerial\fernie_sparwood\1250-valley-view-drive-20020438\esri_world_imagery_z19\z19_x94822_y178377.jpg,data\contact_sheets\fernie_sparwood\1250-valley-view-drive-20020438\aerial_contact_sheet.jpg,9,55,6856,146.4,44.7,poor,poor,no,40,research_only_verify_license,Vision batch 001: print_mockup_potential=low; best_candidate_tile=none; Center tile is dominated by cul-de-sac pavement with only partial neighboring structures and lawns.,0,9
7,vision_reviewed_batch_001,Fernie/Sparwood,10683923,2135 WHISKEY JACK Drive,Kootenay,SP - Sparwood,49.75981389,-114.89823739,listing,data\aerial\fernie_sparwood\2135-whiskey-jack-drive-10683923\esri_world_imagery_z19\z19_x94811_y178352.jpg,data\contact_sheets\fernie_sparwood\2135-whiskey-jack-drive-10683923\aerial_contact_sheet.jpg,9,55,6462,152.2,44.9,poor,poor,no,37,research_only_verify_license,"Vision batch 001: print_mockup_potential=low; best_candidate_tile=none; Blurry, mostly wooded or undeveloped view with road frontage; no clear property or backyard feature.",0,9
8,vision_reviewed_batch_001,Fernie/Sparwood,20046554,532 Granzow Road,Kootenay,FERU - Elko to Montana,49.23095153,-115.21655552,listing,data\aerial\fernie_sparwood\532-granzow-road-20046554\esri_world_imagery_z19\z19_x94347_y179538.jpg,data\contact_sheets\fernie_sparwood\532-granzow-road-20046554\aerial_contact_sheet.jpg,9,51,13035,55.2,39.6,partial,fair,unclear,68,research_only_verify_license,"Vision batch 001: print_mockup_potential=medium; best_candidate_tile=other; Wooded acreage setting with partial roofs and yard areas; tree cover obscures the center, and a dark rectangular feature in another tile is ambiguous.",0,9
9,vision_reviewed_batch_001,Fernie/Sparwood,10683952,1204 VALLEY VIEW Drive,Kootenay,SP - Sparwood,49.74808525,-114.89178045,listing,data\aerial\fernie_sparwood\1204-valley-view-drive-10683952\esri_world_imagery_z19\z19_x94820_y178378.jpg,data\contact_sheets\fernie_sparwood\1204-valley-view-drive-10683952\aerial_contact_sheet.jpg,9,50,6565,130.8,40.6,partial,fair,no,76,research_only_verify_license,"Vision batch 001: print_mockup_potential=medium; best_candidate_tile=center; Center tile shows the home edge, lawn, driveway, and road; somewhat soft but usable for a basic overhead crop.",0,9
10,vision_reviewed_batch_001,Fernie/Sparwood,20022704,1206 VALLEY VIEW Drive,Kootenay,SP - Sparwood,49.74830986,-114.89170194,listing,data\aerial\fernie_sparwood\1206-valley-view-drive-20022704\esri_world_imagery_z19\z19_x94820_y178378.jpg,data\contact_sheets\fernie_sparwood\1206-valley-view-drive-20022704\aerial_contact_sheet.jpg,9,50,6565,130.8,40.6,partial,fair,no,67,research_only_verify_license,"Vision batch 001: print_mockup_potential=medium; best_candidate_tile=center; Same contact-sheet area as prior image, with partial house and yard visible in center; no obvious pool or hot tub.",0,9
