triage_rank,triage_score,listing_id,address,source_label,area,subarea,coordinate_confidence,latitude,longitude,recommended_source,aerial_coverage_goal,best_overhead_candidate,aerial_contact_sheet,aerial_review_status,aerial_backyard_visibility,aerial_overhead_quality,aerial_real_tiles,aerial_placeholder_tiles,mls_contact_sheet,mls_photo_count,mls_backyard_photos,mls_drone_or_aerial,mls_best_photo_indices,mls_candidate_strength,hot_tub_or_pool_signal,source_risk,notes
1,86,10667320,1018 SWANSEA Road,Columbia Valley,Kootenay,INRU - Windermere,listing,50.49706742,-115.98452749,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\1018-swansea-road-10667320\esri_world_imagery_z19\z19_x93229_y176677.jpg,data\contact_sheets\columbia_valley\1018-swansea-road-10667320\aerial_contact_sheet.jpg,vision_reviewed_batch_002,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\1018-swansea-road-10667320\mls_contact_sheet.jpg,30,yes,yes,"1,4,5,7,8,9,10,11",high,not_reviewed_for_this_goal,research_only_verify_license,"Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.; Goal review: multiple aerial/top-down/oblique views show house with driveway, patio, surrounding yard/lot and site context. Strong match for house plus backyard/lot together."
2,86,20027125,1282 23RD S Street,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.48604974,-115.76139922,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\1282-23rd-s-street-20027125\esri_world_imagery_z19\z19_x93554_y178967.jpg,data\contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\mls_contact_sheet.jpg,30,yes,yes,1,high,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 1 is an elevated oblique aerial showing the house with surrounding yard/lot context; strong candidate for the stated goal.
3,86,20062684,1629 Staple Crescent,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.49575165,-115.75717769,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\1629-staple-crescent-20062684\esri_world_imagery_z19\z19_x93560_y178946.jpg,data\contact_sheets\cranbrook_kimberley\1629-staple-crescent-20062684\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1629-staple-crescent-20062684\mls_contact_sheet.jpg,30,yes,yes,"5,2,3,1,4,6",high,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: multiple strong aerial/oblique views showing house, yard, lot edges, and neighborhood context; photo 5 appears most top-down."
4,86,10675733,1732 20TH S Avenue,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.49179681,-115.7538321,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\1732-20th-s-avenue-10675733\esri_world_imagery_z19\z19_x93565_y178954.jpg,data\contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\mls_contact_sheet.jpg,30,yes,yes,"1,2,3,4,5,6,7,9",high,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Good outdoor set with lawn, deck, exterior, RV/yard context, and clear aerial/drone parcel views."
5,86,20049485,224 Lindsay Street,Cranbrook/Kimberley,Kootenay,KI - Kimberley,listing,49.6705185,-115.98128598,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\224-lindsay-street-20049485\esri_world_imagery_z19\z19_x93234_y178553.jpg,data\contact_sheets\cranbrook_kimberley\224-lindsay-street-20049485\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\224-lindsay-street-20049485\mls_contact_sheet.jpg,30,yes,yes,3,high,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 is a clear elevated/top-down aerial showing house, yard/lot, and neighboring context."
6,86,10680589,2510 COBBLESTONE Trail,Columbia Valley,Kootenay,IN - Invermere,listing,50.48338259,-116.04173624,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\2510-cobblestone-trail-10680589\esri_world_imagery_z19\z19_x93145_y176708.jpg,data\contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\aerial_contact_sheet.jpg,vision_reviewed_batch_003_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\2510-cobblestone-trail-10680589\mls_contact_sheet.jpg,30,yes,yes,"1,2,3,4,8,9",high,no,research_only_verify_license,Vision batch 003: print_mockup_potential=low; best_candidate_tile=none; All aerial tiles show 'Map data not yet available'; no property features visible.; Strong winter exterior plus elevated/drone-style views of home/setting and nearby landscape.
7,86,10684446,2543 LEDGEROCK Ridge,Columbia Valley,Kootenay,IN - Invermere,listing,50.48010704,-116.03984233,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\2543-ledgerock-ridge-10684446\esri_world_imagery_z19\z19_x93148_y176716.jpg,data\contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\2543-ledgerock-ridge-10684446\mls_contact_sheet.jpg,30,yes,yes,"1,3,26,27,29,30",high,no,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Exterior, patio, and scenic mountain/view shots; photo 3 appears to be elevated drone/aerial-style."
8,86,20072535,2904 Edgewood Drive,Cranbrook/Kimberley,Kootenay,CRAN - Cranbrook South,listing,49.50853107,-115.73903449,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\cranbrook_kimberley\2904-edgewood-drive-20072535\esri_world_imagery_z19\z19_x93586_y178917.jpg,data\contact_sheets\cranbrook_kimberley\2904-edgewood-drive-20072535\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\cranbrook_kimberley\2904-edgewood-drive-20072535\mls_contact_sheet.jpg,30,yes,yes,"3,1,5,4",high,not_reviewed_for_this_goal,research_only_verify_license,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong aerial set; photo 3 is best top-down roof/yard/lot view, with oblique house+lot and neighborhood context in photos 1, 4, 5."
9,86,10673047,4576 COLUMERE Road,Columbia Valley,Kootenay,INRU - Fairmont/Columbia Lake,listing,50.28959785,-115.87779063,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\4576-columere-road-10673047\esri_world_imagery_z19\z19_x93384_y177151.jpg,data\contact_sheets\columbia_valley\4576-columere-road-10673047\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\4576-columere-road-10673047\mls_contact_sheet.jpg,30,yes,yes,"1,2,3,4,5,6,7,9,10",high,yes,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Strong exterior/yard/deck set with lake/mountain aerial-style context; hot tub visible on deck/patio. Needs human verification before relying on it.
10,86,20046407,4824 MCKAY Street,Columbia Valley,Kootenay,RA - Radium Hot Springs,listing,50.61649305,-116.07460743,mls_drone_or_aerial_candidate,likely_house_and_backyard_elevated_context,data\aerial\columbia_valley\4824-mckay-street-20046407\esri_world_imagery_z19\z19_x93098_y176403.jpg,data\contact_sheets\columbia_valley\4824-mckay-street-20046407\aerial_contact_sheet.jpg,blocked_no_aerial_imagery,unclear,poor,0,9,data\mls_contact_sheets\columbia_valley\4824-mckay-street-20046407\mls_contact_sheet.jpg,30,yes,yes,"5,3,4",high,not_reviewed_for_this_goal,research_only_verify_license,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 5 is a strong vertical/top-down aerial of house and lot; photos 3-4 add rear/yard ground context. Photos 6-8 are broader scenic/context aerials.
