review_order,priority_group,triage_rank,triage_score,listing_id,address,source_label,recommended_source,recommended_label,coordinate_confidence,best_photo_indices,arcgis_real_tiles,arcgis_placeholder_tiles,best_overhead_candidate,aerial_contact_sheet,mls_contact_sheet,google_best_image,google_contact_sheet,bing_contact_sheet,mapbox_contact_sheet,app_path,review_reason,rights_note
1,A - strong candidate,1,126,10667320,1018 SWANSEA Road,Columbia Valley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,4,5,7,8,9,10,11",0,9,data\aerial\columbia_valley\1018-swansea-road-10667320\esri_world_imagery_z19\z19_x93229_y176677.jpg,data\contact_sheets\columbia_valley\1018-swansea-road-10667320\aerial_contact_sheet.jpg,data\mls_contact_sheets\columbia_valley\1018-swansea-road-10667320\mls_contact_sheet.jpg,data\alternate_aerial\google\columbia-valley\1018-swansea-road-10667320\google_satellite_z19.jpg,data\alternate_contact_sheets\google\columbia-valley\1018-swansea-road-10667320\google_satellite_contact_sheet.jpg,,,/columbia-valley#listing-10667320,"Vision batch 002: print_mockup_potential=low; best_candidate_tile=none; Map data not available; no imagery to evaluate.; Goal review: multiple aerial/top-down/oblique views show house with driveway, patio, surrounding yard/lot and site context. Strong match f…",MLS/listing photos are research-only until rights are verified.
2,A - strong candidate,2,126,20066310,1170 Mcdonald Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"6,5,3,4",0,9,data\aerial\fernie_sparwood\1170-mcdonald-avenue-20066310\esri_world_imagery_z19\z19_x94556_y178937.jpg,data\contact_sheets\fernie_sparwood\1170-mcdonald-avenue-20066310\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\1170-mcdonald-avenue-20066310\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\1170-mcdonald-avenue-20066310\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\1170-mcdonald-avenue-20066310\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-20066310,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 6 appears to be a close top-down/overhead lot view showing house and yard layout; photo 5 gives broader aerial…,MLS/listing photos are research-only until rights are verified.
3,A - strong candidate,3,126,20027125,1282 23RD S Street,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,1,0,9,data\aerial\cranbrook_kimberley\1282-23rd-s-street-20027125\esri_world_imagery_z19\z19_x93554_y178967.jpg,data\contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\1282-23rd-s-street-20027125\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\1282-23rd-s-street-20027125\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\1282-23rd-s-street-20027125\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20027125,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 1 is an elevated oblique aerial showing the house with surrounding yard/lot context; strong candidate for the…,MLS/listing photos are research-only until rights are verified.
4,A - strong candidate,4,126,20060624,1302 11th Avenue,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"30,29,24",0,9,data\aerial\fernie_sparwood\1302-11th-avenue-20060624\esri_world_imagery_z19\z19_x94568_y178905.jpg,data\contact_sheets\fernie_sparwood\1302-11th-avenue-20060624\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\1302-11th-avenue-20060624\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\1302-11th-avenue-20060624\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\1302-11th-avenue-20060624\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-20060624,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 30 is top-down lot/house view with outline; photo 29 is elevated oblique showing house and fenced yard. Photo…,MLS/listing photos are research-only until rights are verified.
5,A - strong candidate,5,126,10671641,16 MT MINTON Street,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,8,4,2,3",0,9,data\aerial\fernie_sparwood\16-mt-minton-street-10671641\esri_world_imagery_z19\z19_x94558_y178944.jpg,data\contact_sheets\fernie_sparwood\16-mt-minton-street-10671641\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\16-mt-minton-street-10671641\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\16-mt-minton-street-10671641\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\16-mt-minton-street-10671641\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-10671641,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 1 is the clearest elevated/aerial-style view showing houses and surrounding lots; likely useful for house-plus…,MLS/listing photos are research-only until rights are verified.
6,A - strong candidate,6,126,10684522,1611 1ST S Avenue,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,2,21,3",0,9,data\aerial\cranbrook_kimberley\1611-1st-s-avenue-10684522\esri_world_imagery_z19\z19_x93523_y178951.jpg,data\contact_sheets\cranbrook_kimberley\1611-1st-s-avenue-10684522\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\1611-1st-s-avenue-10684522\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\1611-1st-s-avenue-10684522\google_satellite_z18.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\1611-1st-s-avenue-10684522\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-10684522,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Clear elevated/drone-style exterior images show the house with surrounding lot and landscape context; photos 21 and 1 are stronge…,MLS/listing photos are research-only until rights are verified.
7,A - strong candidate,7,126,20062684,1629 Staple Crescent,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"5,2,3,1,4,6",0,9,data\aerial\cranbrook_kimberley\1629-staple-crescent-20062684\esri_world_imagery_z19\z19_x93560_y178946.jpg,data\contact_sheets\cranbrook_kimberley\1629-staple-crescent-20062684\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\1629-staple-crescent-20062684\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\1629-staple-crescent-20062684\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\1629-staple-crescent-20062684\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20062684,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: multiple strong aerial/oblique views showing house, yard, lot edges, and neighborhood context; photo 5 appears most…",MLS/listing photos are research-only until rights are verified.
8,A - strong candidate,8,126,10675733,1732 20TH S Avenue,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"1,2,3,4,5,6,7,9",0,9,data\aerial\cranbrook_kimberley\1732-20th-s-avenue-10675733\esri_world_imagery_z19\z19_x93565_y178954.jpg,data\contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\1732-20th-s-avenue-10675733\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\1732-20th-s-avenue-10675733\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\1732-20th-s-avenue-10675733\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-10675733,"Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Good outdoor set with lawn, deck, exterior, RV/yard context, and clear aerial/drone parcel views.",MLS/listing photos are research-only until rights are verified.
9,A - strong candidate,9,126,10677481,18 ELKVIEW Crescent,Fernie/Sparwood,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"6,7,3,2,5,1",0,9,data\aerial\fernie_sparwood\18-elkview-crescent-10677481\esri_world_imagery_z19\z19_x94565_y178948.jpg,data\contact_sheets\fernie_sparwood\18-elkview-crescent-10677481\aerial_contact_sheet.jpg,data\mls_contact_sheets\fernie_sparwood\18-elkview-crescent-10677481\mls_contact_sheet.jpg,data\alternate_aerial\google\fernie-sparwood\18-elkview-crescent-10677481\google_satellite_z19.jpg,data\alternate_contact_sheets\google\fernie-sparwood\18-elkview-crescent-10677481\google_satellite_contact_sheet.jpg,,,/fernie-sparwood#listing-10677481,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: strong aerial/elevated coverage. Photos 6-7 best show house footprint with yard/lot; photos 3 and 5 add top-down nei…,MLS/listing photos are research-only until rights are verified.
10,A - strong candidate,10,126,20068527,1908 12th Street S,Cranbrook/Kimberley,mls_drone_or_aerial_candidate,Strong MLS aerial/elevated,listing,"3,2",0,9,data\aerial\cranbrook_kimberley\1908-12th-street-s-20068527\esri_world_imagery_z19\z19_x93562_y178941.jpg,data\contact_sheets\cranbrook_kimberley\1908-12th-street-s-20068527\aerial_contact_sheet.jpg,data\mls_contact_sheets\cranbrook_kimberley\1908-12th-street-s-20068527\mls_contact_sheet.jpg,data\alternate_aerial\google\cranbrook-kimberley\1908-12th-street-s-20068527\google_satellite_z19.jpg,data\alternate_contact_sheets\google\cranbrook-kimberley\1908-12th-street-s-20068527\google_satellite_contact_sheet.jpg,,,/cranbrook-kimberley#listing-20068527,Automated placeholder detection: all aerial tiles appear to be Esri no-imagery placeholders; use MLS/contact-sheet path instead.; Goal review: photo 3 gives elevated/top-down view of rear yard with house; photo 2 shows house/lot from above. Photos 4-5 are bro…,MLS/listing photos are research-only until rights are verified.
